original	google_translation
a	A
aardvark	Erdferkel
aback	verblüfft
abacus	Abakus
abandon	aufgeben
abandoned	verlassen
abandonee	verlassen
abandoner	aufgeben
abandonment	Aufgabe
abasement	Zement
abbreviate	abkürzen
abbreviated	abgekürzt
abbreviation	Abkürzung
abdicate	abdanken
abdomen	Abdomen
abdominal	Bauch
abdominally	Bauch
abduct	entführen
abductee	Entführter
abduction	Entführung
abductor	Entführer
abhor	verabscheuen
abhorrence	Abscheu
abhorrently	abscheulich
abhorring	abscheulich
abide	bleiben
abiding	bleibend
abidingly	beständig
ability	Fähigkeit
ablaze	in Flammen
able	fähig
ably	gekonnt
abnormal	abnormal
abnormality	Anomalie
abnormally	ungewöhnlich
aboard	an Bord
abode	Aufenthalt
abolish	abschaffen
abolishable	abschaffungsfähig
abolisher	Abschaffung
abolishment	Abschaffung
abolition	Abschaffung
abolitionism	Abolitionismus
abolitionist	Abolitionist
abominable	abscheulich
abominableness	Abscheulichkeit
abominably	abscheulich
abominate	verabscheuen
abomination	Gräuel
aboriginal	Ureinwohner
aborted	abgebrochen
abortion	Abtreibung
abortionist	Abtreiber
abortive	fehlgeschlagen
abortively	fehlgeschlagen
abound	im Überfluss
above	über
aboveboard	ehrlich
aboveground	überirdisch
abovementioned	oben erwähnt
abracadabra	Abrakadabra
abrasion	Abrieb
abrasive	Schleifmittel
abrasively	abrasiv
abrasiveness	Abrasivität
abreast	auf Augenhöhe
abridge	kürzen
abridged	gekürzt
abridgment	Abkürzung
abroad	im Ausland
abrupt	abrupt
abruptly	plötzlich
abruptness	Plötzlichkeit
abscess	Abszess
abscessed	Abszess
absence	Abwesenheit
absent	abwesend
absentee	abwesend
absenteeism	Fehlzeiten
absently	geistesabwesend
absentminded	zerstreut
absentmindedly	geistesabwesend
absentmindedness	Zerstreutheit
absentness	Abwesenheit
absinthe	Absinth
absolute	absolut
absolutely	absolut
absoluteness	Absolutheit
absolution	Absolution
absolutism	Absolutismus
absolutist	Absolutist
absolvable	absolvable
absolve	entbinden
absorb	absorbieren
absorbability	Absorbierbarkeit
absorbable	resorbierbar
absorbed	absorbiert
absorbency	Saugfähigkeit
absorber	Absorber
absorbing	absorbierend
absorbingly	absorbierend
absorption	Absorption
absorptiveness	Absorptionsfähigkeit
abstainer	Abstinenzler
abstention	Enthaltung
abstinence	Abstinenz
abstinent	abstinent
abstinently	abstinent
abstract	abstrakt
abstracted	abstrahiert
abstractedly	abstrahiert
