english	german
a	a
aardvark	erdferkel
aback	verblüfft
abacus	abakus
abandon	aufgeben
abandoned	verlassen
abandonee	verlassen
abandoner	aufgeben
abandonment	aufgabe
abasement	zement
abbreviate	abkürzen
abbreviated	abgekürzt
abbreviation	abkürzung
abdicate	abdanken
abdomen	abdomen
abdominal	bauch
abdominally	bauch
abduct	entführen
abductee	entführter
abduction	entführung
abductor	entführer
abhor	verabscheuen
abhorrence	abscheu
abhorrently	abscheulich
abhorring	abscheulich
abide	bleiben
abiding	bleibend
abidingly	beständig
ability	fähigkeit
ablaze	in flammen
able	fähig
ably	gekonnt
abnormal	abnormal
abnormality	anomalie
abnormally	ungewöhnlich
aboard	an bord
abode	aufenthalt
abolish	abschaffen
abolishable	abschaffungsfähig
abolisher	abschaffung
abolishment	abschaffung
abolition	abschaffung
abolitionism	abolitionismus
abolitionist	abolitionist
abominable	abscheulich
abominableness	abscheulichkeit
abominably	abscheulich
abominate	verabscheuen
abomination	gräuel
aboriginal	ureinwohner
aborted	abgebrochen
abortion	abtreibung
abortionist	abtreiber
abortive	fehlgeschlagen
abortively	fehlgeschlagen
abound	im überfluss
above	über
aboveboard	ehrlich
aboveground	überirdisch
abovementioned	oben erwähnt
abracadabra	abrakadabra
abrasion	abrieb
abrasive	schleifmittel
abrasively	abrasiv
abrasiveness	abrasivität
abreast	auf augenhöhe
abridge	kürzen
abridged	gekürzt
abridgment	abkürzung
abroad	im ausland
abrupt	abrupt
abruptly	plötzlich
abruptness	plötzlichkeit
abscess	abszess
abscessed	abszess
absence	abwesenheit
absent	abwesend
absentee	abwesend
absenteeism	fehlzeiten
absently	geistesabwesend
absentminded	zerstreut
absentmindedly	geistesabwesend
absentmindedness	zerstreutheit
absentness	abwesenheit
absinthe	absinth
absolute	absolut
absolutely	absolut
absoluteness	absolutheit
absolution	absolution
absolutism	absolutismus
absolutist	absolutist
absolvable	absolvable
absolve	entbinden
absorb	absorbieren
absorbability	absorbierbarkeit
absorbable	resorbierbar
absorbed	absorbiert
absorbency	saugfähigkeit
absorber	absorber
absorbing	absorbierend
absorbingly	absorbierend
absorption	absorption
absorptiveness	absorptionsfähigkeit
abstainer	abstinenzler
abstention	enthaltung
abstinence	abstinenz
abstinent	abstinent
abstinently	abstinent
abstract	abstrakt
abstracted	abstrahiert
abstractedly	abstrahiert
abstractedness	abstraktheit
abstraction	abstraktion
abstractionism	abstraktionismus
abstractionist	abstraktionist
abstractive	abstrakt
