corpus	sentence
itwac	La sala , con 100 [SEP] poltrone [SEP] ergonomiche concentriche ospita l' SN 88 , il nuovo proiettore ottico realizzato dalla ditta francese R. S. Automation Industrie .
itwac	Questa amarezza non è originata da considerazioni di cosiddetto potere , in una parola di posti o di [SEP] poltrone [SEP] , ma da una considerazione complessiva in base alla quale la tanto invocata par condicio e la pari dignità molto spesso restano parole vuote e senza riscontri nella realtà .
itwac	non ho mai asserito di doverti sedere sulla [SEP] poltrona [SEP] per guardare film di fantascienza ; 2 .
itwac	Pindaricamente l' australiano spazia nel suo repertorio ripescando dai ricordi con i Birthday Party una inquietante " Wild World " ( dal 12 " del  83 " The Bad Seed " ) , restare fermi sulle [SEP] poltrone [SEP] dell' auditorium diventa un' ardua impresa .
itwac	' ' Viola si alza dalla [SEP] poltrona [SEP] , la sigaretta è terminata .
itwac	La sala teatrale ha subito invece un intervento cromatico teso ad esaltare il tradizionale rosso vivo delle [SEP] poltrone [SEP] e del sipario .
itwac	Da tenere incollati alle [SEP] poltrone [SEP] .
itwac	Ed il sottoscritto , dalla [SEP] poltrona [SEP] di casa , o dai bordi delle strade , delle piste , delle piscine , dei ring e dei campi , di campioncini in erba ne ha scoperti a iosa .
itwac	sapete com' è , il pugilato piu' di altri sport è molto bello , soprattutto quando lo si guarda in [SEP] poltrona [SEP] ...
itwac	Sito : http://www.deborahgroup.it / Samar Italia : produzione di [SEP] poltrone [SEP] massaggianti per relax e terapia - Seregno , Milano : Produzione poltrone massaggio per centri benessere , palestre , centri solarium , privati .
itwac	Non è più il tempo che un [SEP] poltrone [SEP] , co ' suoi bravi d' intorno , possa metter la gente alla disperazione , e ridersene ; è venuto un tempo che gli uomini s' incontrino a viso a viso : e ...
itwac	D' altra parte la signora Mastella ama fare collezione di [SEP] poltrone [SEP] , ed è anche commissario regionale della Croce rossa e infine presidente dell' Associazione culturale Iside Nova .
itwac	Allora che cosa fa lì in televisione , tranquillo , seduto in [SEP] poltrona [SEP] , sorridente ?
itwac	Capitolo a parte merita l' audio : un semplice stereo per i non dotati di impianto multicanale , ma anche e soprattutto due piste a 5.1 canali , una in Dolby Digital e una in Dts in grado di esaltare con effetti di panning posteriore e di catapultare la vostra [SEP] poltrona [SEP] preferita al centro del Filaforum .
itwac	La " sua " famiglia , la famiglia di Napoleone , ma eccola qui riunita in questo teatro , in piedi nelle logge e nelle [SEP] poltrone [SEP] del parterre !
itwac	Eva - su quella [SEP] poltrona [SEP] comoda Bortolo - ( sta per sedersi ma quando sente la parola " comoda " si ferma e si alza ) .
itwac	Sullo sfondo , il purgatorio della Bicocca : la Scala confinata in periferia fino al 7 dicembre del 2004 e costretta dalle ristrettezze di bilancio - suona la campana del sovrintendente - a riempire comunque , e per tutto l ´ anno , le duemila [SEP] poltrone [SEP] degli Arcimboldi .
itwac	Tutta la mobilia smossa , in mezzo alla stanza ; gli usci , le finestre , senza tende ; le seggiole appajate , una sull' altra , e della paglia stesa sul tappeto , e trucioli di paglia dappertutto , sulle [SEP] poltrone [SEP] , sul sofà - Le sue carte da musica ?
