corpus	sentence
itwac	" Il [SEP] gabbiano [SEP] spezzino dovrà diventare oggetto di studio e dovrà essere eliminato fisicamente " .
itwac	dal 1 luglio al 14 agosto Jesi - Ex Appannaggio Orario spettacoli : 21,30 Prezzo ingresso : 5 euro , ridotto ( tessera AGIS e minori di 14 anni ) : 4 euro Arena Gabbiano 2005 - link al sito " sentieri di cinema " dal 1 al 20 luglio 2005 Senigallia - Arena [SEP] Gabbiano [SEP] L' orario degli spettacoli dell' Arena sarà tutti i giorni alle 21.30 , i film per ragazzi invece inizieranno alle 20.30 .
itwac	Se opportunamente tarato , nelle giornate di calma piatta riesci a vedere i singoli [SEP] gabbiani [SEP] ...
itwac	Di queste , alcune sono particolarmente rare , come il [SEP] Gabbiano [SEP] corso , il Marangone dal ciuffo e la Pernice sarda .
itwac	E' inoltre visibile sul sito internet www.auser.it Dal Veneto un aiuto concreto ai bambini bulgari Anziani di Cremona , la spesa arriva a casa Appuntamenti dicembrini per l' Università popolare di Piazza Armerina Aiutare gli anziani aiuta l' umore Assemblea nazionale del Forum dal Terzo Settore AuserInforma DAL VENETO UN AIUTO CONCRETO AI BAMBINI BULGARI - L' Auser " Il [SEP] gabbiano [SEP] " , che opera a Campalto in provincia di Venezia , ha organizzato una grande raccolta fondi per aiutare due orfanotrofi della provincia bulgara di Plovdiv e Smolian , in cui sono ospitati bambini e ragazzi dai 6 ai 18 anni .
itwac	Ovvero i pesci , assieme a [SEP] gabbiani [SEP] e pellicani , solo comprimari gli umani .
itwac	da laura credo sia meglio essere un [SEP] gabbiano [SEP] , per potere essere liberi di volare dove si vuole .
itwac	Le località più interessanti sono : Cala Goloritzè , Cala Mariolu , Spiaggia dei [SEP] Gabbiani [SEP] , Cala Biriola , Cala Sisine e Cala Luna .
itwac	Francillo Nicosia , Edizioni Il [SEP] Gabbiano [SEP] , Messina 1991 ( edizione f.c. ) .
itwac	Contro il protezionismo , alta e corale è salita l' invettiva dei cacciatori : " Le volpoche , che tanto piacciono ai verdi , sono divorate nelle casse di colmata dai [SEP] gabbiani [SEP] reali " .
itwac	Il cigno non ama i corvi ; li considera stupidi , lui orgoglioso , lui re  ogni cigno pensa di essere un monarca  né ama i [SEP] gabbiani [SEP] , brutti esemplari del mondo alato , che la tempesta ha spinto numerosi sulla terra al calar della notte .
itwac	Si cominciò con l' apertura del " Villaggio Magico a Caprera " , che a quei tempi garantiva preziosi posti di lavoro , per proseguire con quella degli alberghi " Excelsior " e il " [SEP] Gabbiano [SEP] " e di altri villaggi e clubs ( " Cett " di Santo Stefano , " C.V.C. " di Caprera , " Touring " di Punta Cannone ) .
itwac	E così ci trasferimmo a Bodega Bay , la cittadina californiana nei pressi di San Francisco dove gli uccelli , per lo più [SEP] gabbiani [SEP] e corvi , sembravano avercela parecchio con il genere umano e con la povera Tippi Hedren , perenne oggetto di sempre più frequenti e feroci attacchi .
itwac	Vito Mastrosimini Leggi tutto l' articolo [ link permanente dell' articolo ] 21.11.03 Il caso [SEP] Gabbiano [SEP] Jonathan destabilizza gli equilibri Dimissioni A seguito della vicenda della casa-famiglia " Il gabbiano Jonathan " , di cui il responsabile comunale del I servizio ha disposto la chiusura con ordinanza dell' 11 novembre 2003 per mancanza di agibilità , una socia fondatrice dell' associazione " Famiglie affidatarie " , nel cui seno si sarebbe formata la casa-famiglia dei coniugi " Milano-Lattanzi " ha presentato le dimissioni dall' associazione stessa .
itwac	I toni cupi e freddi che ne Il mestiere delle armi accompagnavano l' incedere deciso , quasi ineluttabile del capitano Ioanni de ' Medici lasciano il posto a un' atmosfera fatta di paesaggi ricchi di colore e di vita , neanche troppo lontani da noi ( si pensa alla Cina e invece , al di là della cinepresa , si estende la Croazia ) superbamente fotografati dal figlio Fabio Olmi e dal suo staff : la cinepresa coglie meravigliosamente la splendida , improvvisa fuga dei [SEP] gabbiani [SEP] dalla superficie dell' acqua .
itwac	Ha già toccato l' isola di Santa Fe , tanto da farla chiudere ai visitatori , ha imbrattato una trentina di pellicani , quattro foche , sette sule , un raro [SEP] gabbiano [SEP] di Franklin .
itwac	inviato il 11.02.2004 11:36:06 GABBIANO VOLA ALTO : ANGEL 's GABBIANO VOLA ALTO : ANGEL 's GABBIANO VOLA ALTO : ANGELI BENEDETTI DA DIO ED ALIENI MALEDETTI : : : : : : ANGEL 's [SEP] GABBIANO [SEP] VOLA ALTO : ANGEL 's Alieni Bianchi ed Alti Prugna Alti piccoli ed Altri Attenti no More attacks to the Angels ...
itwac	A Edwards mancavano la Calandra , la Sterpazzola di Sardegna e il [SEP] Gabbiano [SEP] corso .
itwac	Fu soprattutto nel secondo dopoguerra , che intere colonie di [SEP] gabbiani [SEP] abbandonavano , spesso da un anno all' altro , le due dune del mare del Nord per andare a nidificare sui tetti dei magazzini portuali di Amburgo .
itwac	Tutto intorno era pieno di [SEP] gabbiani [SEP] che volavano basso , come sull' estuario di un fiume selvatico .
itwac	Pertanto amici del [SEP] Gabbiano [SEP] , soprattutto mi rivolgo ai frequentatori dell' I.P.S.S.A.R. fate conoscere in giro questo messaggio , appendetelo a scuola , inviatene copia al Sindaco , al preside , agli Assessori Provinciali , all' Assessore alla Pubblica Istruzione , organizzate una manifestazione presso la VOSTRA scuola ed invitate tutti coloro che abbiamo citato , cosi facendo vedranno con i loro occhi lo stato di pericolo che vi trovate ad affrontare ogni giorno , Io sarò al Vostro fianco , contattatemi presso www.Balestratesi.it darò sfogo alle vostre richieste , e forse un senso a questo mio " Pensiero " .
itwac	[SEP] Gabbiano [SEP] corallino , file RAW originale ( convertito in JPEG senza modifiche ) .
itwac	Là , sulle bianche scogliere , lui aveva intavolato una burrascosa chiacchierata coi [SEP] gabbiani [SEP] , padroni assoluti del luogo .
itwac	Dello stesso autore di Il [SEP] gabbiano [SEP] Jonathan Livingston " E sotto il suo velivolo scorre tutta l' America ...
itwac	e affetto che si mischia più che mai , in ogni sorbola di canzone , sentimenti immensi , svariati tutti mischiati , se non ti volessi anche bene oltre ad amarti , forse saresti più libera tu , e soprattutto più libera io [SEP] gabbiano [SEP] tarpato dal destino , che lotta con le parole delle canzoni e cerca di intromettersi nei vostri discorsi ...
itwac	Non mi va più di trattenere il respiro quando mi avvicino al tuo vero nome se fossi strega avrei potuto scorgere in quel volo di [SEP] gabbiani [SEP] generosi un segno di piacere infinito un attimo da perfezionare ma sto pagando a rate la vita che non mi ha fatto sconti né sventolato la bandiera a scacchi non è finita ancora la mia corsa non mi hanno preso le misure ai fianchi e già si fa più vecchia la mano che recita una piccola parte come comparsa che non ha corpo né fragranza alcuna da esibire Fate il vostro gioco signori della scena che non declamerò i miei patetici versi
itwac	Sono particolarmente protette , anche sotto il profilo sanzionatorio , le seguenti specie : a ) mammiferi : lupo ( Canis lupus ) , sciacallo dorato ( Canis aureus ) , orso ( Ursus arctos ) , martora ( Martes martes ) , puzzola ( Mustela putorius ) , lontra ( Lutra lutra ) , gatto selvatico ( Felis sylvestris ) , lince ( Lyn lyn ) , foca monaca ( Monachus monachus ) , tutte le specie di cetacei ( Cetacea ) , cervo sardo ( Cervus elaphus corsicanus ) , camoscio d' Abruzzo ( Rupicapra pyrenaica ) ; b ) uccelli : marangone minore ( Phalacrocorax pigmeus ) , marangone dal ciuffo ( Phalacrocorax aristotelis ) , tutte le specie di pellicani ( Pelecanidae ) , tarabuso ( Botaurus stellaris ) , tutte le specie di cicogne ( Ciconiidae ) , spatola ( Platalea leucorodia ) , mignattaio ( Plegadis falcinellus ) , fenicottero ( Phoenicopterus ruber ) , cigno reale ( Cygnus olor ) , cigno selvatico ( Cygnus cygnus ) , volpoca ( Tadorna tadorna ) , fistione turco ( Netta rufina ) , gobbo rugginoso ( Oxyura leucocephala ) , tutte le specie di rapaci diurni ( Accipitriformes e falconiformes ) , pollo sultano ( Porphyrio porphyrio ) , otarda ( Otis tarda ) , gallina prataiola ( Tetrax tetrax ) , gru ( Grus grus ) , piviere tortolino ( Eudromias morinellus ) , avocetta ( Recurvirostra avosetta ) , cavaliere d' Italia , ( Himantopus himantopus ) , occhione ( Burhinus oedicnemus ) , pernice di mare ( Glareola pratincola ) , [SEP] gabbiano [SEP] corso ( Larus audouinii ) , gabbiano corallino ( Larus melanocephalus ) , gabbiano roseo ( Larus genei ) , sterna zampenere ( Gelochelidon nilotica ) , sterna maggiore ( Sterna caspia ) , tutte le specie di rapaci notturni ( Strigiformes ) , ghiandaia marina ( Coracias garrulus ) , tutte le specie di picchi ( Picidae ) , gracchio corallino ( Pyrrhocorax pyrrhocorax ) ; c ) tutte le altre specie che direttive comunitarie o convenzioni internazionali o apposito decreto del Presidente del Consiglio dei ministri indicano come minacciate di estinzione .
itwac	Mai pasto fù più indigesto !! pino nautilandiasl Senior Member Canarias 981 Posts Posted - 03/07/2003 : 18:34:54 ragazzi che " fortuna " pesci freschi sulla spiaggia , ricciole che ti saltano in barca , a me la cosa piu' ridicola e' stato un enorme [SEP] gabbiano [SEP] che ha calcolato male le sardine della pastura ed e' sceso in picchiata a circa 300 km per ora shiantandosi sul bordo della barca , un bordello , sangue e piume dappertutto , c' e' voluta una buona mezzora per riprendersi dallo spavento e dai crampi allo stomaco per le risate , non abbiamo provato a mangiarlo anche se vi assicuro che era freschissimo .
itwac	Tra [SEP] gabbiani [SEP] alquanto ciarlieri e la mini regia del maxischermo un po' confusionaria , si prosegue con l' intervento dell' autore che , accompagnato al piano dall' ottimo Sergio Cammariere legge con la sua bella , intensa e così meravigliosamente inglese , voce un brano di " Lingua madre " , testo ironicamente autobiografico , nel quale con sorniona poesia parla della lingua usata da sua madre , passandone così in rassegna la vagabonda vita ; il tutto seguito sullo schermo dalla traduzione in italiano .
itwac	- Nessun [SEP] gabbiano [SEP] mi porterà più a sud - aveva pensato .
itwac	Un volo di [SEP] gabbiani [SEP] sui containers arrugginniti .
itwac	Tutto iniziò con quell' articolo , scritto di getto e firmato con il nome di Capitan Jonathan , il [SEP] gabbiano [SEP] che aveva imparato ad essere capitano di se stesso , scoprendo il modo per vivere a pieno la sua vita e trasmetterla agli altri .
itwac	Nei giorni successivi cercò quindi di comportarsi come gli altri [SEP] gabbiani [SEP] .
itwac	Una volta mi dissero che l' amore dei [SEP] gabbiani [SEP] , come quello degli alcioni , dura a lungo , spesso per tutta una vita .
itwac	Tuffarti , riemergere , rituffarti e godere del silenzio intorno a te , interrotto soltanto dal suono gutturale dei [SEP] gabbiani [SEP] che vengono a posarsi sulla prua del motoscafo .
