corpus	sentence
itwac	La Croazia forse si aspettava molti più vantaggi dall' ingresso nella sfera tedesca di quanto poi ne ha in effetti avuto ; forse prima di fare quei passi che ha fatto doveva guardare a Romania , Bulgaria ecc. La Croazia e' sempre stata il vaso di coccio tra i [SEP] vasi [SEP] di ferro , per quel che vedo io da tredici anni a questa parte .
itwac	Certamente simbolo solare in India dal 500 a.C. la svastica compare presso molte popolazioni della preistoria fino in età storica , sugli idoletti femminili a Troia , sui [SEP] vasi [SEP] di Dipylon in Grecia , nel palazzo di Cnossos a Creta , a Cipro , nelle civiltà latino americane in epoca precolombiana , nella civiltà villanoviana in Italia e nell' arte funeraria cristiana da II sec. In poi : reperti di questo tipo sono venuti alla luce recentemente anche a Quarto d' Altino e a Noventa di Piave .
itwac	Il Benjamin cadde e si ruppe il [SEP] vaso [SEP] .
itwac	Moltiplicazione : in autunno si seminano i semi freschi , il contenitore di semina va tenuto in serra o comunque in luogo protetto , fino alla primavera ; le giovani piante vanno coltivate in [SEP] vaso [SEP] per almeno un anno prima di essere poste a dimora .
itwac	21 ) Gli aneurismi dei grossi [SEP] vasi [SEP] arteriosi del collo e del tronco , quando , per sede , volume o grado di evoluzione determinano assoluta incapacità lavorativa .
itwac	Dopo quattro settimane , le osservazioni rivelavano che i [SEP] vasi [SEP] sanguigni erano stati distrutti e gli accumuli di grasso si erano riassorbiti .
itwac	Un giorno le capitò tra le mani un [SEP] vaso [SEP] che Prometeo aveva affidato al fratello raccomandandogli di non aprirlo per nessun motivo .
itwac	Ci sono si' molti sopramobili e [SEP] vasi [SEP] , ma la scelta di utilizzare principalmente ferro battuto , legno naturale , tende e tovaglie abbastanza sobrie , composizioni di fiori secchi e , per questo periodo , zucche di tante fogge , da' piu' l' idea di una bella dimora di campagna .
itwac	Come di persone che hanno lasciato un luogo dove possedevano , in qualche angolo , vasi che non erano buoni , e questi sono stati spaccati , tuttavia il padrone di casa non soffre per la perdita anzi ne è lieto : invece di quei brutti [SEP] vasi [SEP] , vi sono quelli pieni che divengono perfetti .
itwac	L' angioplastica coronarica ha fornito risultati eccellenti in questi ultimi anni , soprattutto nei pazienti ad alto rischio chirurgico o in quelli con scarsa sintomatologia o lesioni non avanzate ; presenta però un rischio operatorio leggermente superiore al by-pass : la rivascolarizzazione spesso non è completa e in qualche caso si sono verificate riocclusioni dei [SEP] vasi [SEP] a breve distanza di tempo .
itwac	E l' angelo indicò , in tutta quella confusione , alcuni cocci di un [SEP] vaso [SEP] di fiori ; lì vicino c' era una zolla che era caduta fuori dal vaso , ma che era rimasta compatta a causa delle radici di un grande fiore di campo appassito , che non valeva più nulla e per questo era stato gettato via .
itwac	In questi casi la « giusta misura » dell' ematocrito , cioè della percentuale delle cellule circolanti , viene violata per eccesso , con rischio di coagulazione del sangue all' inteno dei [SEP] vasi [SEP] ( trombosi vascolari : polmonari , cardiache , cerebrali ) .
itwac	Natura morta con bottiglie e [SEP] vasi [SEP] 1934 , olio su tela cm 75 x 51 Gentilini Franco - Faenza , 1909 .
itwac	In ordine , anche se non quello cronologico di uscita alle stampe , oltre all' opera prima Libera nos a Malo , Fiori Italiani , I piccoli maestri , Bau-séte , Il dispatrio per non parlare dei frammenti distribuiti qua e là in altri lavori ( Jura , Maredè , Maredè ecc. ) ossia la sua intera narrativa ( " Tutti i libri che ho pubblicato - segnala da sé l' autore - sono collegati fra loro , come [SEP] vasi [SEP] intercomunicanti : c' è dentro lo stesso fluido che passa dall' uno all' altro .
itwac	La serie dei Megalit mostra l' idea di [SEP] vaso [SEP] portata al suo limite dimensionale ; questi oggetti di bellezza sensuale o di presenza giocosa sono in realtà una rappresentazione del massimo sforzo , della potenzialità estrema del vetro ma anche , più in generale , del manufatto umano nel suo complesso .
itwac	IL [SEP] VASO [SEP] DI PANDORA , un vaso di emozioni , urlare , ballare , dipingere , giocare , scrivere , fare l' amore ...
itwac	Altra tappa è il Museo Archeologico della Magna Grecia in piazza De Nava , non lontano dal lungomare , dove i Bronzi di Riace sono custoditi insieme ad altri tesori ( il [SEP] Vaso [SEP] Greco e la Testa del Filosofo ) .
itwac	Tanto da porre a fianco del defunto oggetti che gli furono cari , con ciotole di cibo e [SEP] vasi [SEP] d' acqua per il lungo viaggio che l' aspetta .
