corpus	sentence
itwac	Corto P.s. Joker , ma è vero che il barcone con il quale usciremo ha pure la [SEP] sedia [SEP] da combattimento ?? nettuno OVO fa sapere quanto sei impegnato ?
itwac	( l' ira si smorza e si accascia sulla [SEP] sedia [SEP] ) Ma ti ricordi com' era Paola prima che tu la rovinassi ?
itwac	) e le [SEP] sedie [SEP] dei tavoli erano piuttosto dozzinali .
itwac	Jen si alza dalla sua [SEP] sedia [SEP] , si piazza davanti al tavolo dove sono appoggiati i suoi documenti e si appoggia leggermente ad esso per far sì che non si spezzi .
itwac	Politiche e strumenti per l' innovazione e la competitività dell' industria italiana Quaderni MIP Politecnico , Vol. 5 , ottobre 1997 S. Brusco e S. Paba : Per una storia dei distretti industriali italiani dal secondo dopoguerra agli anni novanta in F. Barca ( a cura di ) , Storia del capitalismo italiano dal dopoguerra ad oggi Donzelli , Roma , 1997 R. Grandinetti " Una proposta di politica industriale per il distretto friulano della [SEP] sedia [SEP] " in Economia e società regionale , n. 2 , 1997 M.L. Di Felice , L. Sanna , G. Sapelli L' impresa industriale del Nord Sardegna .
itwac	Forse la fabbrica più divertente di tutte , il droide che " prende " i polli spaziali e li processa mi ha fatto ridere diverse volte per la crudezza con la quale svolge il suo compito Ecco il modulo di istruzione in versione [SEP] sedia [SEP] " stile Matrix " , dovreste vedere come sobbalza Kita ad ogni scossa che riceve !
itwac	Il guascone , Mendoza ed il fiammingo facevano intrepidamente fronte all' assalto dell' oste e dei suoi quattro uomini , scaraventando [SEP] sedie [SEP] e sgabelli in tutte le direzioni , e fracassando fiaschi e bottiglie .
itwac	( porta una sedia a Roberto ) Ecco due [SEP] sedie [SEP] per le mie signore nipoti .
itwac	In molti casi non ci sono palestre ed aule per tutti e mancano , o sono ridotte in stato pietoso , [SEP] sedie [SEP] , banchi e lavagne .
itwac	Il rajah si sedette su una [SEP] sedia [SEP] ; Yanez invece si appoggiò allo scrittoio quale , a portata di mano , c' era il kriss .
itwac	In particolare : i banconi e i piani di appoggio utilizzati per le normali operazioni del pubblico devono essere predisposti in modo che almeno una parte di essi sia utilizzabile da persona su sedia a ruote , permettendole di espletare tutti i servizi ; nel caso di adozione di bussole , percorsi obbligati , cancelletti a spinta ecc. , occorre che questi siano dimensionati e manovrabili in modo da garantire il passaggio di una sedia a ruote ; eventuali sistemi di apertura e chiusura , se automatici , devono essere temporizzati in modo da permettere un agevole passaggio anche a disabili su [SEP] sedia [SEP] a ruote ; ove necessario deve essere predisposto un idoneo spazio d' attesa con posti a sedere .
itwac	Grazie ad una donazione é stato possibile acquistare due [SEP] sedie [SEP] a rotelle che aiuteranno i bambini ad essere piu' autonomi e sicuramente piu' felici .
itwac	Stiamo bandendo la gara per l' acquisto di tre nuovi mezzi con pedana elevatrice per persone su [SEP] sedia [SEP] a rotelle .
itwac	Ingresso : sensazione di essere i benvenuti , immediata facilità di orientamento , presenza di [SEP] sedie [SEP] nell' area di ingresso , saluti del personale , curiosità iniziale di vedere di più / procedere nella visita .
itwac	Dalla finestra chiusa oltre l' alto muro di cemento il cielo appariva grigio o nero in quei giorni d' imprevista solitudine perdevo ogni congettura d' ali ipotetici decolli ed acrobatiche figure naufragate nel nero mare dell' ingiusto l' amico ragno sulla finestra ignorava riflessioni ed alla domanda hai mai pensato a volare taceva indifferente e proseguiva alacremente a riparare ragnatele strappate da maligni pur io senz' ali cui sperare m' accorsi d' avere tele stralciate e del tempo perdevo cognizione tiravo allora con l' istinto a sopravvivere fitte trame e serrati orditi tra un tavolo scorticato ed una [SEP] sedia [SEP] zoppa una cigolante branda ed uno sghembo armadietto così salvavo libri , piatti , bicchieri , posate e qualche foto lo stretto necessario ad oscurare macchie d' umido squallore negazione del domani tanto ho tessuto e senz' ali tesso ancora .
itwac	Ora provo ad elencare per me i più famosi : Earthquake ( terremoto canadese ) e Typhoon in The Natural Disasters the ultimate warrior Hulk Hogan Jim Duggan " Hacksaw " aveva una grande mazza di legno in mano ed entrava nel ring con una bandiera USA Randy Savage ( macho man ) la manager era sensational Sherri Curt Hennig ( Mr Perfect ) --- morto Ted DiBiase ( the million dollar man ) Papa Shango The genius ( fratello di Macho man ) Bret Hart ( The Hitman ) Owen Hart fratello di bret ---- morto The British Bulldog che appunto si presentava con il buldog ---- morto Yokozuna ( il bestione di origini samoane ) ---- morto Andre The Giant --- morto Rick rude ---- morto Kerry von Erich ( texas tornado ) ---- morto Dinamite kid --- ridotto sulla [SEP] sedia [SEP] a rotelle big boss man ( il polizziotto ) Jimmy " Superfly " Snuka Jake The snake robert ( che faceva mordere il gli avversari dal suo serpente ) alcolizzato The Undertaker ( il becchino ) Rick Martel ( the model ) JACQUES ROUGEAU ( the mountie - aveva una divisa da generale rossa con un manganello rosso ) Ric Flair ( The natural boy si presentava sempre con una vestaglia ) Mr. Fuji il mitico manager tatanka the dinamite kid Colonel Mustafa Nicolai Volkoff tito santana ( el matador ) Antonio Inoki Hillbilly Jim Roddy Piper Marty Jannetty Doink The Clown Lex Luger Dynamite Kid Brian Adams ( Crush ) Haku Terry Taylor Beefcake Kevin Nash ( Diesel ) Scott Hall ( Razor Ramon ) Sid Justice , " Sycho " Bam Bam Bigelow coppie : the buckwakers ( i due mattacchioni neozelandesi che si leccavano in testa ) the demolition man ( mitici le maschere dipinte in volto ) The Twin Towers ( Akeem e The Big Bossman ) Legion of Doom conosciuti come Road Warriors http://digilander.libero.it/twcom/dovesonofiniti.html http://members.xoom.virgilio.it/allpuroresu/dovesonofinitiusa.html http://www.tuttowrestling.com/wrestlebios.html Questi sono dei link se vi va di ricordare ...
